"","V1","V2","V3"
"1",0.0784696347253121,0.0944180796045751,0.0875442052764576
"2",0.0652105870831108,0.0681922573828008,0.0754513607763072
"3",0.0620354858442976,0.0748319512811827,0.0729031537881475
"4",0.0629960041556571,0.0693865728000514,0.0688879817984987
"5",0.0690916931678748,0.0675971552765628,0.0658477569794613
"6",0.0669684174715462,0.0651532466100276,0.0689284127337963
"7",0.0614706710704112,0.0652728673155488,0.0666650826826649
"8",0.0626688832039882,0.0657185348527829,0.0620454779830312
"9",0.0600769588530808,0.0626392606938481,0.0663081049175498
"10",0.0607901700505795,0.0633203585181462,0.0665634845055507
"11",0.0619352457414556,0.0628461666284564,0.065460576746587
"12",0.0599442557674369,0.0606076571202977,0.0613288817133128
"13",0.066944673657836,0.0624433032217689,0.0585674623734767
"14",0.061287102262648,0.0615826274665807,0.0598545052115903
"15",0.0561579270934436,0.0678262143575193,0.0620836480771346
"16",0.0591577968120736,0.0618529114388723,0.062629369661194
"17",0.0643868408618654,0.0633698738950316,0.0649381964583885
"18",0.0665680668523315,0.0616337741319026,0.0656851294479105
"19",0.0637892242754887,0.0667178541372706,0.0680867397115444
"20",0.0615263014125935,0.0649213731381539,0.0645778018907673
"21",0.0652668806297685,0.0649054593814605,0.0636957974013617
"22",0.0576478885099765,0.0604710279589848,0.0614082993050568
"23",0.0573393244673556,0.0600610736432283,0.0624551667951057
"24",0.0598081094286059,0.0610549858028726,0.067169984462164
"25",0.0634809734924919,0.0643440335535424,0.0641690200660019
"26",0.0623660853327085,0.064587510704895,0.0611498987450204
"27",0.0627420743376433,0.0639157369956132,0.0643056024995402
"28",0.0581327874786734,0.0620718874132517,0.0602952461706272
"29",0.0674160132018071,0.0633366552156754,0.0642081276930548
"30",0.0654046555254129,0.065138145352658,0.0659169671520344
"31",0.059008425403015,0.0635354917021587,0.0640989845126934
"32",0.0618090059708996,0.0627310544201853,0.0602094305870987
"33",0.0660963565932921,0.0652569367725892,0.0616316823935876
"34",0.0562415955688288,0.0651500218128999,0.0650895837713069
"35",0.0611402366388593,0.0617354925276614,0.0624031042175862
"36",0.060022882286914,0.0633958740313536,0.0578706152981792
"37",0.0657711581935731,0.061839103231986,0.0625920105513785
"38",0.0610207243206901,0.0583061073502849,0.0621367223094192
"39",0.0651565844130206,0.0636843132810387,0.0636827099222302
"40",0.0629316975289561,0.0642981727380801,0.0629198279222197
"41",0.0626545093133865,0.0602135650106479,0.062980110964299
"42",0.064467900139738,0.0640618023412856,0.0618144262672871
"43",0.0588006556139282,0.0644457746846595,0.0640747565089606
"44",0.0604552286129358,0.0614732701121899,0.0601199319455468
"45",0.0680957405927029,0.0646442272225663,0.0622885783587396
"46",0.0594866379844376,0.0617903569538478,0.0670578644669986
